,School,Students,District
20,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Swift Middle School
250 Colonial Street, Watertown, CT, 06779  Homes for sale",669.0,Watertown School District
21,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Waterford High School
20 Rope Ferry Road, Waterford, CT, 06385  Homes for sale",836.0,Waterford School District
22,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Naugatuck High School
543 Rubber Ave, Naugatuck, CT, 06770  Homes for sale",1226.0,Naugatuck School District
23,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Nathan Hale-Ray Middle School
73 Clark Gates Road, East Haddam, CT, 06469  Homes for sale",368.0,East Haddam School District
24,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
John B. Sliney School
23 Eades Street, Branford, CT, 06405  Homes for sale",303.0,Branford School District
25,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Classical Studies Academy
240 Linwood Avenue, Bridgeport, CT, 06604  Homes for sale",407.0,Bridgeport School District
26,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Northeast Academy Elementary School
115 Oslo Street, Groton, CT, 06355  Homes for sale",416.0,Groton School District
27,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Grtr Acad Of The Art
140 Huyshope Avenue, Hartford, CT, 06106  Homes for sale",339.0,Capitol Region Education Coun
28,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Great Neck Elementary School
165 Great Neck Road, Waterford, CT, 06385  Homes for sale",341.0,Waterford School District
29,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Thomas Edison Magnet Middle School
1355 North Broad Street, Meriden, CT, 06450  Homes for sale",712.0,Area Cooperative Educational
30,"10/10Top ratedGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Annie E. Vinton School
306 Stafford Road, Mansfield, CT, 06250  Homes for sale",231.0,Mansfield School District
31,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Litchfield Intermediate School
35 Plumb Hill Road, Litchfield, CT, 06759  Homes for sale",186.0,Litchfield School District
32,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Wells Road Intermediate School
134 Wells Road, Granby, CT, 06035  Homes for sale",406.0,Granby School District
33,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Jennings School
31 Palm Drive, Fairfield, CT, 06825  Homes for sale",289.0,Fairfield School District
34,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Granby Memorial High School
2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Connecticut315 Salmon Brook Street, Granby, CT, 06035  Homes for sale",657.0,Granby School District
35,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Frisbie School
24 Todd Road, Wolcott, CT, 06716  Homes for sale",289.0,Wolcott School District
36,"1/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Culinary Arts Academy
85 Sigourney Street, Hartford, CT, 06105  Homes for sale",73.0,Hartford School District
37,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Norfeldt School
35 Barksdale Road, West Hartford, CT, 06117  Homes for sale",317.0,West Hartford School District
38,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Asian Studies School At Dwight/Belizzi School
215 South Street, Hartford, CT, 06114  Homes for sale",623.0,Hartford School District
39,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Joseph Melillo Middle School
67 Hudson Street, East Haven, CT, 06512  Homes for sale",514.0,East Haven School District
40,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Biotechnology Research And Zoological Studies High At The Fa
840 Old Town Road, Bridgeport, CT, 06606  Homes for sale",471.0,Bridgeport School District
41,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Mark T. Sheehan High School
142 Hope Hill Road, Wallingford, CT, 06492  Homes for sale",772.0,Wallingford School District
42,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Act Magnet School (Arts At The Capitol Theater) -
896 Main Street, Windham, CT, 06226  Homes for sale",117.0,Eastern Connecticut Regional
43,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Common Ground High School
358 Springside Avenue, New Haven, CT, 06515  Homes for sale",202.0,Common Ground High School Dis
44,"1/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Slade Middle School
183 Steele Street, New Britain, CT, 06052  Homes for sale",838.0,New Britain School District
45,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Carl C. Cutler Middle School
160 Fishtown Road, Groton, CT, 06355  Homes for sale",471.0,Groton School District
46,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Norwalk High School
55 County Street, Norwalk, CT, 06851  Homes for sale",1682.0,Norwalk School District
47,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
E. O. Smith High School
1 awardAwards & BadgesCollege Success Award2020See all winners in Connecticut1235 Storrs Road, Mansfield, CT, 06268  Homes for sale",1132.0,Region 19
48,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Long Lots School
13 Hyde Lane, Westport, CT, 06880  Homes for sale",540.0,Westport School District
49,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Center For Global Studies
1 awardAwards & BadgesCollege Success Award2020See all winners in Connecticut300 Highland Avenue, Norwalk, CT, 06854  Homes for sale",284.0,Norwalk School District
50,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Deans Mill School
35 Deans Mill Road, Stonington, CT, 06378  Homes for sale",383.0,Stonington School District
51,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Integrated Day Charter School
68 Thermos Avenue, Norwich, CT, 06360  Homes for sale",331.0,Integrated Day Charter School
52,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Francis T. Maloney High School
121 Gravel Street, Meriden, CT, 06450  Homes for sale",1134.0,Meriden School District
53,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Christopher Columbus Academy
255 Blatchley Avenue, New Haven, CT, 06513  Homes for sale",495.0,New Haven School District
54,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Sunnyside School
418 River Road, Shelton, CT, 06484  Homes for sale",221.0,Shelton School District
55,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Farmingville Elementary School
324 Farmingville Road, Ridgefield, CT, 06877  Homes for sale",329.0,Ridgefield School District
56,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Sherman School
250 Fern Street, Fairfield, CT, 06824  Homes for sale",470.0,Fairfield School District
57,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Center School
7 Summit Street, East Hampton, CT, 06424  Homes for sale",320.0,East Hampton School District
58,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Odyssey Community School
579 Middle Turnpike West, Manchester, CT, 06040  Homes for sale",329.0,Odyssey Community School District
59,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Chatfield Lopresti Elementary School
51 Skokorat Street, Seymour, CT, 06483  Homes for sale",546.0,Seymour School District
60,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
A. Baldwin Middle School
68 Bullard Drive, Guilford, CT, 06437  Homes for sale",538.0,Guilford School District
61,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Alma E. Pagels School
26 Benham Hill Road, West Haven, CT, 06516  Homes for sale",335.0,West Haven School District
62,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Joseph A. Foran High School
2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Connecticut80 Foran Road, Milford, CT, 06460  Homes for sale",912.0,Milford School District
63,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Mitchell Elementary School
14 School Street, Woodbury, CT, 06798  Homes for sale",369.0,Region 14
64,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Daniels Farm School
710 Daniels Farm Road, Trumbull, CT, 06611  Homes for sale",475.0,Trumbull School District
65,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Killingly High School
226 Putnam Pike, Killingly, CT, 06241  Homes for sale",802.0,Killingly School District
66,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Benjamin Jepson Magnet School
15 Lexington Avenue, New Haven, CT, 06513  Homes for sale",507.0,New Haven School District
67,"Currently unrated GreatSchools’ Summary Rating provides an overall snapshot of school quality. 
For some schools, we do not have enough data from state or national education agencies to provide a rating.
Indian Neck School
12 Melrose Avenue, Branford, CT, 06405  Homes for sale",39.0,Branford School District
68,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Island Avenue Elementary School
20 Island Avenue, Madison, CT, 06443  Homes for sale",263.0,Madison School District
69,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Anna Reynolds School
85 Reservoir Road, Newington, CT, 06111  Homes for sale",446.0,Newington School District
70,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Ellen P. Hubbell School
90 West Washington Street, Bristol, CT, 06010  Homes for sale",423.0,Bristol School District
71,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
The Academy Of Information Technology
2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Connecticut411 High Ridge Road, Stamford, CT, 06905  Homes for sale",652.0,Stamford School District
72,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Ponus Ridge Middle School
21 Hunters Lane, Norwalk, CT, 06850  Homes for sale",692.0,Norwalk School District
73,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Royle Elementary School
133 Mansfield Avenue, Darien, CT, 06820  Homes for sale",401.0,Darien School District
74,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Stonington High School
1 awardAwards & BadgesCollege Success Award2020See all winners in Connecticut176 South Broad Street, Stonington, CT, 06379  Homes for sale",694.0,Stonington School District
75,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Urbin T. Kelley School
501 Ridgewood Road, Southington, CT, 06489  Homes for sale",308.0,Southington School District
76,"10/10Top ratedGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Coleytown Elementary School
65 Easton Road, Westport, CT, 06880  Homes for sale",369.0,Westport School District
77,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Eli Terry School
569 Griffin Road, South Windsor, CT, 06074  Homes for sale",438.0,South Windsor School District
78,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Coleytown Middle School
255 North Avenue, Westport, CT, 06880  Homes for sale",480.0,Westport School District
79,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Sterling Community School
251 Sterling Road, Sterling, CT, 06377  Homes for sale",380.0,Sterling School District
80,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Gaffney School
322 Slater Road, New Britain, CT, 06053  Homes for sale",498.0,New Britain School District
81,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Hopeville School
2 Cypress Street, Waterbury, CT, 06706  Homes for sale",343.0,Waterbury School District
82,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Cross Street Intermediate School
Cross St, Naugatuck, CT, 06770  Homes for sale",330.0,Naugatuck School District
83,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Avon Middle School
375 West Avon Road, Avon, CT, 06001  Homes for sale",556.0,Avon School District
84,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
West Side Middle School
250 Brandegee Avenue, Groton, CT, 06340  Homes for sale",450.0,Groton School District
85,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Gilmartin School
107 Wyoming Avenue, Waterbury, CT, 06706  Homes for sale",486.0,Waterbury School District
