,district,district-href,english,math,ap_math,ap_sci,ap_other,low_income_perc,students_per_teacher,teachers_3yr,teacher_salary,rev_per_student,spend_per_student,spend_instruction,students,college,ap_total,local_rev
88,Eastford School District,https://www.greatschools.org/connecticut/eastford/eastford-school-district/,61%,61%,,,,,9.0,100%,,"$32,112","$24,940",48%,150,61%,,60%
89,North Haven School District,https://www.greatschools.org/connecticut/north-haven/north-haven-school-district/,73%,65%,7%,5%,14%,13%,12.0,97%,"$73,609","$27,283","$17,357",39%,"3,136",84%,3%,79%
90,New Milford School District,https://www.greatschools.org/connecticut/new-milford/new-milford-school-district/,56%,52%,7%,28%,,23%,11.0,95%,"$61,272","$18,266","$16,573",57%,"4,119",81%,29%,68%
91,Canterbury School District,https://www.greatschools.org/connecticut/canterbury/canterbury-school-district/,45%,45%,,,,,12.0,88%,"$62,555","$27,008","$20,293",46%,456,45%,,50%
92,The Bridge Academy District,https://www.greatschools.org/connecticut/bridgeport/the-bridge-academy-district/,13%,13%,<1%,<1%,,80%,16.0,89%,"$140,994","$15,319","$13,824",45%,279,80%,<1%,11%
93,Fairfield School District,https://www.greatschools.org/connecticut/fairfield/fairfield-school-district/,78%,73%,6%,16%,23%,10%,11.0,98%,"$75,136","$22,057","$18,894",55%,"9,928",85%,39%,83%
94,New Hartford School District,https://www.greatschools.org/connecticut/hartford/new-hartford-school-district/,57%,57%,,,,11%,12.0,92%,"$82,428","$20,651","$19,123",61%,456,57%,,51%
95,Department Of Mental Health A,https://www.greatschools.org/connecticut/hartford/department-of-mental-health-a/,,,,,,,,,,,,,4,,,
96,Region 10,https://www.greatschools.org/connecticut/burlington/regional-school-district-10/,70%,70%,10%,3%,15%,6%,10.0,78%,"$59,238","$18,913","$16,988",55%,"2,335",83%,41%,68%
97,Region 01,https://www.greatschools.org/connecticut/canaan/regional-school-district-01/,44%,44%,2%,5%,,21%,6.0,90%,"$78,289","$29,802","$25,216",49%,386,68%,26%,79%
98,Chaplin School District,https://www.greatschools.org/connecticut/chaplin/chaplin-school-district/,60%,62%,,,,,8.0,100%,,"$24,011","$23,301",61%,147,62%,,37%
99,Park City Prep Charter School,https://www.greatschools.org/connecticut/bridgeport/park-city-prep-charter-school/,33%,33%,,,,75%,,,,"$10,953","$11,222",34%,360,33%,,0%
100,Region 11,https://www.greatschools.org/connecticut/chaplin/regional-school-district-11/,38%,38%,8%,5%,16%,33%,8.0,78%,"$81,088","$30,245","$26,131",44%,233,65%,21%,87%
101,East Haven School District,https://www.greatschools.org/connecticut/east-haven/east-haven-school-district/,46%,34%,6%,1%,11%,45%,12.0,94%,"$46,741","$22,161","$19,087",52%,"2,853",65%,12%,51%
102,Redding School District,https://www.greatschools.org/connecticut/monroe/redding-school-district/,78%,78%,,,,3%,10.0,98%,"$74,510","$28,492","$25,349",71%,913,78%,,84%
103,Region 08,https://www.greatschools.org/connecticut/hebron/regional-school-district-08/,57%,57%,21%,4%,13%,9%,10.0,92%,"$65,172","$20,477","$17,664",52%,"1,480",85%,23%,88%
104,Glastonbury School District,https://www.greatschools.org/connecticut/glastonbury/glastonbury-school-district/,78%,76%,8%,27%,16%,9%,13.0,99%,"$82,849","$20,910","$18,525",54%,"5,905",85%,35%,80%
105,Branford School District,https://www.greatschools.org/connecticut/branford/branford-school-district/,56%,56%,5%,7%,17%,26%,11.0,97%,"$71,730","$21,513","$19,872",58%,"2,900",69%,22%,81%
106,Capitol Region Education Coun,https://www.greatschools.org/connecticut/hartford/capitol-region-education-coun/,47%,33%,5%,5%,15%,50%,11.0,91%,"$74,790",,,,"8,564",66%,29%,
107,Suffield School District,https://www.greatschools.org/connecticut/suffield/suffield-school-district/,61%,61%,6%,6%,18%,11%,12.0,80%,"$66,064","$19,290","$16,676",59%,"2,204",76%,32%,68%
108,Ashford School District,https://www.greatschools.org/connecticut/ashford/ashford-school-district/,43%,43%,,,,31%,9.0,98%,,"$22,317","$20,894",59%,394,43%,,38%
109,Unified School District #2,https://www.greatschools.org/connecticut/hartford/unified-school-district-%232/,,,1%,<1%,,91%,3.0,96%,"$54,115",,,,137,29%,<1%,
110,Shelton School District,https://www.greatschools.org/connecticut/shelton/shelton-school-district/,71%,62%,4%,4%,19%,22%,13.0,86%,"$128,236","$18,809","$16,798",59%,"4,694",76%,23%,79%
111,Cheshire School District,https://www.greatschools.org/connecticut/cheshire/cheshire-school-district/,83%,75%,5%,9%,24%,8%,11.0,95%,"$71,627","$18,898","$17,563",60%,"4,284",86%,55%,74%
112,Region 07,https://www.greatschools.org/connecticut/winchester/regional-school-district-07/,47%,47%,4%,<1%,8%,8%,12.0,96%,"$73,766","$21,006","$18,904",55%,"1,071",77%,12%,87%
113,Norwalk School District,https://www.greatschools.org/connecticut/norwalk/norwalk-school-district/,48%,41%,5%,3%,20%,51%,14.0,98%,"$93,716","$21,792","$19,391",60%,"11,494",66%,21%,74%
114,Sprague School District,https://www.greatschools.org/connecticut/sprague/sprague-school-district/,27%,27%,,,,48%,10.0,81%,"$54,790","$20,114","$15,256",45%,334,27%,,46%
115,Orange School District,https://www.greatschools.org/connecticut/orange/orange-school-district/,69%,69%,,,,6%,10.0,100%,,"$21,484","$19,474",52%,"1,173",69%,,79%
116,Mansfield School District,https://www.greatschools.org/connecticut/mansfield/mansfield-school-district/,76%,71%,,,,23%,11.0,97%,"$91,613","$21,610","$22,363",57%,"1,133",71%,,46%
117,Bridgeport School District,https://www.greatschools.org/connecticut/bridgeport/bridgeport-school-district/,27%,16%,<1%,<1%,3%,57%,15.0,73%,"$64,000","$22,392","$15,915",A worrisome sign:,"20,729",60%,17%,18%
118,Jumoke Academy District,https://www.greatschools.org/connecticut/hartford/jumoke-academy-district/,34%,24%,13%,40%,,51%,16.0,91%,,"$12,932","$12,422",44%,753,24%,<1%,11%
119,Southington School District,https://www.greatschools.org/connecticut/southington/southington-school-district/,68%,63%,4%,7%,13%,15%,13.0,84%,"$56,649","$17,426","$15,919",60%,"6,463",77%,20%,65%
120,Rocky Hill School District,https://www.greatschools.org/connecticut/rocky-hill/rocky-hill-school-district/,76%,69%,8%,3%,14%,15%,11.0,94%,"$71,419","$21,379","$17,352",51%,"2,700",86%,19%,71%
121,Preston School District,https://www.greatschools.org/connecticut/preston/preston-school-district/,51%,51%,,,,24%,15.0,100%,,"$30,913","$22,039",48%,442,51%,,62%
122,Region 14,https://www.greatschools.org/connecticut/woodbury/regional-school-district-14/,51%,51%,9%,16%,2%,9%,10.0,98%,"$77,331","$21,490","$20,297",52%,"1,707",79%,33%,76%
123,Manchester School District,https://www.greatschools.org/connecticut/manchester/manchester-school-district/,35%,29%,3%,3%,11%,51%,12.0,74%,"$87,208","$23,663","$21,407",53%,"6,181",56%,16%,56%
124,Columbia School District,https://www.greatschools.org/connecticut/columbia/columbia-school-district/,48%,48%,,,,17%,10.0,91%,"$114,531","$31,371","$20,982",32%,430,48%,,68%
125,Stamford Academy,https://www.greatschools.org/connecticut/stamford/stamford-academy/,,,<1%,,,93%,,,,"$19,707","$22,660",29%,159,17%,<1%,40%
126,Stafford School District,https://www.greatschools.org/connecticut/stafford/stafford-school-district/,46%,46%,5%,2%,3%,35%,11.0,91%,"$57,857","$22,287","$20,360",56%,"1,514",62%,15%,55%
127,Cromwell School District,https://www.greatschools.org/connecticut/cromwell/cromwell-school-district/,60%,60%,9%,8%,22%,18%,12.0,78%,"$68,845","$18,622","$16,332",58%,"1,961",83%,22%,71%
128,East Hampton School District,https://www.greatschools.org/connecticut/east-hampton/east-hampton-school-district/,57%,57%,8%,2%,17%,12%,13.0,97%,"$71,693","$23,642","$17,463",49%,"1,861",78%,20%,47%
129,Winchester School District,https://www.greatschools.org/connecticut/winchester/winchester-school-district/,49%,54%,,,,56%,10.0,93%,"$60,547","$43,074","$24,824",33%,528,54%,,47%
130,East Lyme School District,https://www.greatschools.org/connecticut/east-lyme/east-lyme-school-district/,74%,68%,9%,12%,19%,14%,12.0,93%,"$76,474","$19,705","$18,246",61%,"2,753",77%,27%,73%
131,Farmington School District,https://www.greatschools.org/connecticut/farmington/farmington-school-district/,82%,75%,16%,12%,34%,10%,12.0,93%,"$85,564","$20,101","$18,601",64%,"4,097",82%,39%,81%
132,Andover School District,https://www.greatschools.org/connecticut/andover/andover-school-district/,71%,71%,,,,20%,8.0,100%,,"$20,912","$19,848",66%,204,71%,,38%
133,Monroe School District,https://www.greatschools.org/connecticut/monroe/monroe-school-district/,73%,73%,6%,8%,31%,8%,13.0,97%,"$81,241","$21,484","$19,517",52%,"3,138",87%,34%,75%
134,Region 13,https://www.greatschools.org/connecticut/durham/regional-school-district-13/,65%,65%,7%,3%,12%,9%,12.0,93%,"$74,489","$25,204","$22,336",53%,"1,669",84%,17%,72%
135,Guilford School District,https://www.greatschools.org/connecticut/guilford/guilford-school-district/,81%,78%,15%,16%,19%,9%,12.0,95%,"$66,787","$21,246","$18,730",56%,"3,363",80%,25%,82%
136,Sherman School District,https://www.greatschools.org/connecticut/sherman/sherman-school-district/,59%,59%,,,,8%,9.0,99%,"$82,165","$31,480","$22,586",52%,301,59%,,88%
137,Windsor Locks School District,https://www.greatschools.org/connecticut/windsor-locks/windsor-locks-school-district/,49%,41%,8%,7%,11%,41%,9.0,96%,,"$24,560","$23,148",59%,"1,545",62%,22%,66%
138,Groton School District,https://www.greatschools.org/connecticut/groton/groton-school-district/,60%,49%,2%,6%,19%,44%,11.0,92%,"$73,861","$20,856","$19,153",53%,"4,356",65%,26%,55%
139,East Windsor School District,https://www.greatschools.org/connecticut/east-windsor/east-windsor-school-district/,26%,26%,3%,2%,18%,43%,9.0,91%,"$60,480","$27,821","$22,863",48%,"1,068",67%,19%,58%
140,Intrdist Sch For Arts And Com,https://www.greatschools.org/connecticut/new-london/intrdist-sch-for-arts-and-com/,30%,11%,,,,71%,10.0,96%,"$89,628","$13,775","$12,177",42%,271,11%,,19%
141,Wolcott School District,https://www.greatschools.org/connecticut/wolcott/wolcott-school-district/,72%,66%,2%,4%,15%,23%,12.0,93%,"$60,903","$18,502","$16,728",61%,"2,254",74%,25%,50%
142,Waterford School District,https://www.greatschools.org/connecticut/waterford/waterford-school-district/,70%,65%,5%,7%,21%,20%,12.0,92%,"$93,212","$24,850","$20,597",56%,"2,516",78%,20%,84%
143,Bolton School District,https://www.greatschools.org/connecticut/bolton/bolton-school-district/,65%,65%,8%,9%,,15%,11.0,81%,"$68,974","$21,730","$19,204",54%,806,85%,26%,65%
144,Thomaston School District,https://www.greatschools.org/connecticut/thomaston/thomaston-school-district/,41%,41%,10%,10%,20%,21%,14.0,92%,"$64,744","$21,412","$18,141",53%,871,69%,21%,53%
145,Derby School District,https://www.greatschools.org/connecticut/derby/derby-school-district/,36%,32%,<1%,10%,,63%,11.0,94%,"$71,754","$20,333","$18,725",58%,"1,364",57%,9%,51%
146,Chester School District,https://www.greatschools.org/connecticut/deep-river/chester-school-district/,74%,74%,,,,15%,10.0,96%,"$77,334","$23,526","$23,171",54%,205,74%,,73%
147,Ansonia School District,https://www.greatschools.org/connecticut/ansonia/ansonia-school-district/,37%,30%,6%,12%,10%,66%,13.0,87%,"$44,882","$19,738","$15,647",54%,"2,283",48%,20%,39%
148,Old Saybrook School District,https://www.greatschools.org/connecticut/old-saybrook/old-saybrook-school-district/,73%,66%,7%,4%,26%,15%,9.0,98%,"$68,320","$23,568","$20,094",51%,"1,260",85%,24%,82%
149,Essex School District,https://www.greatschools.org/connecticut/deep-river/essex-school-district/,72%,72%,,,,13%,9.0,100%,"$70,336","$24,926","$20,909",53%,343,72%,,82%
